GENDER,CAR,INCOME_TYPE,EDUCATION_TYPE,FAMILY_TYPE,HOUSE_TYPE,FAMILY SIZE,AGE,INCOME,SOCIAL_STABILITY,SOCIAL_EXPOSURE,SOCIAL_QUALITY,LOAN_SOCIAL_VAR,LOAN_APPROVAL
M,Y,Working,Secondary / secondary special,Married,House / apartment,2,59,57583,0.32,0.12,0.87,0.033408,1
F,N,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1,52,26317,0.32,0.56,0.1,0.01792,0
F,N,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1,52,20458,0.31,0.21,0.03,0.001953,0
F,N,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1,52,29275,0.31,0.11,0.87,0.029667,0
F,N,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1,52,41992,0.32,0.12,0.1,0.00384,1
M,Y,Working,Higher education,Married,House / apartment,2,46,36746,0.37,0.56,0.03,0.006216,1
M,Y,Working,Higher education,Married,House / apartment,2,46,23156,0.37,0.21,0.87,0.067599,1
M,Y,Commercial associate,Secondary / secondary special,Married,House / apartment,2,49,31331,0.37,0.11,0.1,0.00407,1
M,Y,Commercial associate,Secondary / secondary special,Married,House / apartment,2,49,51958,0.31,0.12,0.03,0.001116,1
M,Y,Commercial associate,Secondary / secondary special,Married,House / apartment,2,49,39756,0.31,0.56,0.87,0.151032,1
M,Y,Commercial associate,Secondary / secondary special,Married,House / apartment,2,49,35412,0.31,0.21,0.1,0.00651,1
M,Y,Commercial associate,Secondary / secondary special,Married,House / apartment,2,49,53352,0.31,0.11,0.03,0.001023,1
M,Y,Commercial associate,Secondary / secondary special,Married,House / apartment,2,49,53244,0.31,0.12,0.87,0.032364,1
F,Y,Working,Incomplete higher,Married,House / apartment,2,29,47047,0.31,0.56,0.1,0.01736,1
F,Y,Working,Incomplete higher,Married,House / apartment,2,29,58553,0.31,0.21,0.03,0.001953,1
F,N,Working,Secondary / secondary special,Married,House / apartment,2,27,34008,0.32,0.11,0.87,0.030624,1
F,N,Working,Secondary / secondary special,Married,House / apartment,2,27,53147,0.31,0.12,0.1,0.00372,1
F,N,Working,Secondary / secondary special,Married,House / apartment,2,27,49561,0.32,0.56,0.03,0.005376,1
M,Y,Working,Secondary / secondary special,Married,House / apartment,5,35,34117,0.32,0.21,0.87,0.058464,1
M,Y,Working,Secondary / secondary special,Married,House / apartment,5,35,55116,0.32,0.11,0.1,0.00352,1
M,N,Commercial associate,Higher education,Married,House / apartment,3,32,31360,0.31,0.12,0.03,0.001116,1
M,N,Commercial associate,Higher education,Married,House / apartment,3,32,57037,0.37,0.56,0.87,0.180264,1
M,N,Commercial associate,Higher education,Married,House / apartment,3,32,38308,0.37,0.21,0.1,0.00777,1
M,N,Commercial associate,Higher education,Married,House / apartment,3,32,44820,0.37,0.11,0.03,0.001221,1
M,N,Commercial associate,Higher education,Married,House / apartment,3,32,28953,0.31,0.12,0.87,0.032364,0
M,N,Commercial associate,Higher education,Married,House / apartment,3,32,26298,0.31,0.56,0.1,0.01736,0
M,Y,Commercial associate,Secondary / secondary special,Married,House / apartment,2,56,23105,0.31,0.21,0.03,0.001953,0
M,Y,Commercial associate,Secondary / secondary special,Married,House / apartment,2,56,33422,0.31,0.11,0.87,0.029667,1
M,Y,Commercial associate,Secondary / secondary special,Married,House / apartment,2,56,24248,0.31,0.12,0.1,0.00372,0
M,Y,Commercial associate,Secondary / secondary special,Married,House / apartment,2,56,28843,0.32,0.56,0.03,0.005376,0
M,Y,Commercial associate,Secondary / secondary special,Married,House / apartment,2,56,26196,0.31,0.21,0.87,0.056637,1
M,Y,Commercial associate,Secondary / secondary special,Married,House / apartment,2,56,29093,0.32,0.11,0.1,0.00352,0
M,Y,Commercial associate,Secondary / secondary special,Married,House / apartment,2,56,37875,0.32,0.12,0.03,0.001152,1
M,Y,Commercial associate,Secondary / secondary special,Married,House / apartment,2,56,44945,0.32,0.56,0.87,0.155904,1
F,Y,Working,Secondary / secondary special,Married,House / apartment,4,43,33244,0.31,0.21,0.1,0.00651,1
F,Y,Working,Secondary / secondary special,Married,House / apartment,4,43,20006,0.37,0.11,0.03,0.001221,0
F,Y,Working,Secondary / secondary special,Married,House / apartment,4,43,46299,0.37,0.12,0.87,0.038628,1
F,Y,Working,Secondary / secondary special,Married,House / apartment,4,43,41880,0.37,0.56,0.1,0.02072,1
